id,name
"com.google.android.youtube","youtube"
"com.google.earth","googleEarth"
"air.com.viber.bitsofsweets","Viber Sweets"
"com.imo.android.imoim","imo free video calls and chat"
"crush.lollipop.matchthree","Lollipop Crush Match 3"
"com.viber.voip","Viber Messenger"
"com.facebook.orca","Messenger – Text and Video Chat for Free"
"jp.naver.line.android","LINE: Free Calls & Messages"
"air.com.viber.fruitadventure","Viber Fruit Adventure"
"com.tencent.mm","WeChat"
"com.whatsapp","WhatsApp Messenger"
"com.viber.viberheroes","Viber Diamond Rush"
"com.bitmango.go.lollipop2match3","Lollipop & Marshmallow Match3"
"com.imo.android.grouper","grouper"
"com.imo.android.imov","imo v"
"com.imo.android.imoimbeta","imo beta free calls and text"
"jelly.candy.lollipop.free","Jelly Lollipop"
"com.juphoon.justalk","JusTalk - Free Video Calls and Fun Video Chat App"
"bubbleshooter.android","Bubble Shooter ™"
"com.bitmango.popstarice","Lollipop Crush"
"com.outplayentertainment.candywitch","Crafty Candy – Match 3 Adventure"
"net.wooga.tropicats_tropical_cats_puzzle_paradise","Tropicats: Build, Decorate & Play Match 3 Paradise"
"com.bitmango.go.lollipopmatch3","Lollipop: Sweet Taste Match 3"
"bubble.fire","Bubble Fire"
"com.facebook.talk","Messenger Kids – Safer Video Calls and Texting"
"air.com.viber.worldpoker","Viber World Poker Club"
"com.kakao.talk","KakaoTalk: Free Calls & Text"
"com.whatsapp.wallpaper","WhatsApp Wallpaper"
"com.whatsapp.w4b","WhatsApp Business"
"com.cookapps.watersplash","Water Splash - Cool Match 3"
"ru.ok.messages","TamTam Messenger - free chats & video calls"
"com.yeecall.app","YeeCall - HD Video Calls for Friends & Family"
"im.thebot.messenger","BOTIM - Unblocked Video Call and Voice Call"
"com.bubbleshooter.raccoon.puzzle.free","Bubble Shooter Raccoon"
"com.icq.mobile.client","ICQ — Video Calls & Chat Messenger"
"com.bitmango.go.blockhexapuzzle","Block! Hexa Puzzle™"
"com.topapp.btscrushsaga2017","BTS Crush"
"com.king.farmheroessupersaga","Farm Heroes Super Saga"
"air.com.sgn.bookoflife.gp","Sugar Smash: Book of Life - Free Match 3 Games."
"com.playflock.indianacat","Indy Cat for VK"
"com.linkdesks.iBubble","Bubble Shooter"
"com.bingo.livetalk","Live Talk - free video chat"
"com.pyrsoftware.pokerstars.net","Classic Ring Games and Tournaments"
"com.kakao.playball","Kakao TV Live - 카카오 TV 라이브"
"com.nkart.waw","Wallpapers for Chat"
"com.beint.zangi","Zangi Messenger"
"air.com.qublix.forestrescue","Forest Rescue: Match 3 Puzzle"
"com.mk.GemQuestHero","Gem Quest Hero - Match 3 Game"
"com.cookapps.toyparty","Toy Party: Free Match 3 Game – Hexa & Block Puzzle"
"com.instanza.baba","SOMA free video call and chat"
"com.fruit.house.match3.free","Fruit House"
"shoot.ball.castle","Castle Ball Shoot"
"com.gramgames.tenten","1010! Puzzle"
"com.topapp.btsfinddifference","BTS Find The Difference"
"com.king.blossomblast","Blossom Blast Saga"
"com.king.petrescuesaga","Pet Rescue Saga"
"com.king.farmheroessaga","Farm Heroes Saga"
"com.linkdesks.DotsCrush","Bubble Pop"
"live.hala","Hala Free Video Chat & Voice Call"
"com.bqlab.themeimessagenew","iTalk - 아이폰메시지 카톡테마"
"com.ksmobile.launcher.theme.neonlife","Neon 2 | HD Wallpapers - Themes 2018"
"com.pokerstars.solipokerbyps","Solitaire Poker by PokerStars™"
"hdwallpaperthemes.emoji.live.wallpaper","Emoji live wallpaper"
"com.catple.wallpapers","Best Wallpapers QHD"
"glitter.live.wallpaper","Glitter live wallpaper"
"com.bigfishgames.gummydropgoogle","Gummy Drop! – Free Match 3 Puzzle Game"
"com.instanza.cocovoice","Coco"
"com.gamoper.fruitfrenzy.free","Fruit Frenzy"
"bubbleshooter.two.pop","Bubble Shooter 2"
"bubbleshooter.pop","Bubble Shooter"
"com.kryptongames.findthedifference200lvls","Find the Difference 200 lvls"
"com.superswell.finde.unterschiede","Find the difference 300 level Spot the differences"
"com.gia.iloveftd","Find The Difference"
"com.midasplayer.apps.diamonddiggersaga","Diamond Digger Saga"
"live.alohanow","Aloha Voice Chat Audio Call with New People Nearby"
"com.superswell.find.difference","Find the difference 300 level Spot the differences"
"live.aha.n","AHA random video chat"
"com.pandoragames.finddifference3","Find the Differences 500 levels"
"com.honeycomb.launcher","Air Launcher - Theme & 3D Wallpaper, Fast"
"com.tohsoft.wallpaper","HD Wallpapers Backgrounds"
"com.gau.go.launcherex.theme.newlauncher2017","New Launcher 2018"
"hd.backgrounds.wallpapers.theme","Backgrounds (HD Wallpapers)"
"com.bigfishgames.cookingcrazegooglef2p","Cooking Craze - A Fast & Fun Restaurant Chef Game"
"com.vg.clashdiamonds","Clash of Diamonds - Match 3 Jewel Games"
"com.gamoper.candystarbreak.free","Candy Star Break"
"com.gamoper.jewelsmash.free","Jewel Smash"
"com.rovio.ABstellapop","Angry Birds POP Bubble Shooter"
"com.kryptongames.findthedifference100levels","Find the Difference 100 levels"
"com.kryptongames.finddifferences150levels3","Find Differences 150 levels 3"
"com.vizalevgames.finddifferences200levels","Find Differences 200 levels"
"com.SuperSwell.MemoryMatchCards","Memory game – Match cards"
"com.TanApps.FindTheDifferences300_2","Find the differences 300 levels"
"in.dradhanus.liveher","YouStar – Video Chat Room"
"com.pandoragames.finddifference2","Find the Differences 300 levels"
"com.chatous.chatous","Chatous"
"com.surpax.ledflashlight.panel","Super-Bright LED Flashlight"
"com.transsion.XOSLauncher","XOS - Launcher,Theme,Wallpaper"
"com.gau.go.launcherex.theme.launchernew2016v3dfree","New 3D Launcher"
"net.zedge.android","ZEDGE™ Ringtones & Wallpapers"
"com.gau.go.launcherex.theme.free2017goldlauncher","Golden Launcher"
